"MRID","have_raw","linked_protocols","made_bids","n_bids_nii","final_rest_preproc","steps_copied","note"
"20180125FF","2018-12-21 08:49:34","2018-06-12 16:36:24","2018-06-12 16:37:15",2,"2018-09-10 15:27:02","__","NA"
"20180208FF","2018-11-16 13:01:16","2018-05-21 08:51:36","2018-05-21 08:51:37",2,"2018-09-26 09:51:07","__","NA"
"20180315FF","2018-11-16 13:02:36","2018-05-21 08:51:37","2018-05-21 08:51:37",2,"2018-09-10 15:27:01","__","NA"
"20180316FF","2018-11-16 13:07:29","2018-05-29 10:07:56","2018-05-29 11:07:10",2,"2018-09-11 08:48:30","__","NA"
"20180419FF","2018-11-16 13:08:43","2018-05-21 08:51:37","2018-05-21 08:51:37",2,"2018-09-26 09:51:09","__","NA"
"20180601FF","2018-12-21 08:50:37","2018-06-13 16:01:40","2018-06-13 15:32:00",2,"2018-09-10 15:27:02","__","NA"
"20180614FF","2018-12-21 08:50:54","2018-06-25 16:14:50","2018-06-25 16:17:19",3,"2018-09-10 15:27:02","__","NA"
"20180629FF","2018-12-21 08:51:08","2018-07-17 14:56:18","2018-07-17 14:56:33",2,"2018-09-10 15:27:02","__","NA"
"20180720FF","2018-12-21 08:51:20","2018-10-22 14:03:52","2018-10-22 14:05:24",2,"2018-10-22 16:07:25","__","NA"
"20180803FF1","2018-12-21 08:51:35","2018-10-15 10:29:02","2018-10-22 14:20:26",2,"2019-01-04 11:52:40","__","NA"
"20180823FF1","2018-12-21 08:51:55","2018-10-15 10:29:22","2018-10-22 14:20:26",3,NA,"__","number of slices (5495) not divisible by number of repeats (114): missing images? Dims 98 90 5495 1 114"
"20180824FF1","2018-12-21 08:52:14","2018-10-22 14:08:36","2018-10-22 14:20:26",2,"2019-01-04 11:50:25","__","NA"
"20180824FF2","2018-12-21 08:52:24","2018-10-22 14:08:58","2018-10-22 14:20:26",2,"2019-01-04 11:56:36","__","NA"
"20180831FF1","2018-11-17 14:25:42","2018-10-22 14:09:19","2018-10-22 14:20:26",2,"2019-01-04 11:57:06","__","NA"
"20180907FF1","2018-11-17 14:27:19","2019-01-04 09:50:01",NA,0,NA,"__","no rest? no mprage?"
"20180921FF1","2018-11-17 14:28:12","2019-01-04 09:45:18","2019-01-04 09:44:55",2,"2018-10-15 17:12:59","__","NA"
"20181011FF1","2018-11-17 14:32:04","2019-01-03 16:47:49","2019-01-03 16:48:17",2,"2019-01-04 11:50:16","__","NA"
"20181116FF1","2019-01-04 15:33:36","2019-01-04 15:42:31","2019-01-04 15:43:00",2,"2019-01-04 17:54:56","__","NA"
"20181130FF1","2019-01-04 15:56:02","2019-01-04 15:57:58","2019-01-04 15:59:06",2,"2019-01-04 18:14:02","__","NA"
"20181213FF1","2019-01-04 16:18:28","2019-01-07 13:41:51","2019-01-07 13:44:08",2,"2019-01-07 15:39:05","__","NA"
"20190204FF1_1",NA,NA,NA,0,NA,"__",NA
